[Nom enseignant];[Nom salle];[Promo];[Matiere];[Date debut];[Heure debut];[Duree];[Ecole];[Site campus];[Numero cours]
LAURENT MARIE;E5-S-1.05 (47);<CLASSES> Ing2 Gr02;IA Ingenieur;30/03/2026;08:30:00;1;ECE INGENIEUR;Eiffel 5;5071.01
THOMAS ALICE;E5-S-1.05 (47);<CLASSES> Ing2 Gr06;Informatique PREPA;30/03/2026;13:00:00;1;ECE PREPA;Eiffel 5;5072.01
LAMBERT HUGO;E5-S-1.05 (47);<Ing2 NVX> Ing2 Nouveaux;Physique PREPA;30/03/2026;14:00:00;1;ECE PREPA;Eiffel 5;5074.02
SIMON THOMAS;E5-S-1.05 (47);<Ing2 NVX> Ing2 Nouveaux;Protocoles IoT;30/03/2026;17:30:00;2;ECE INGENIEUR;Eiffel 5;5070.04
THOMAS ALICE;E5-S-1.05 (47);<CLASSES> Ing2 Gr05;RGPD et conformite;30/03/2026;18:30:00;1;ECE MASTER;Eiffel 5;5073.05
MULLER STEFAN;E5-S-2.05 (F) (49);<PREPA2> Prepa 2eme annee Gr02;Robotique;30/03/2026;08:30:00;2;ECE INGENIEUR;Eiffel 5;5011.03
KHOURY CLAUDE;E5-S-2.05 (F) (49);<MAST1> Master 1 Cloud;Droit des affaires;30/03/2026;10:45:00;2;ECE BACHELOR;Eiffel 5;5013.03
FONTAINE ANNA;E5-S-2.05 (F) (49);<PREPA1> Prepa 1ere annee Gr01;Gestion de projet;30/03/2026;13:00:00;1;ECE BACHELOR;Eiffel 5;5012.04
MOKHBER ARASH;E5-S-2.05 (F) (49);<BACH1> Bachelor 1 Gr01;Analyse et algebre;30/03/2026;15:15:00;1;ECE PREPA;Eiffel 5;5010.04
MOREAU EMILIE;E5-S-2.05 (F) (49);<BACH2> Bachelor 2 Gr02;Ressources humaines;30/03/2026;19:45:00;1;ECE BACHELOR;Eiffel 5;5009.03
ROUX NICOLAS;E5-S-3.01 (M) (52);<PREPA1> Prepa 1ere annee Gr02;Communication;30/03/2026;08:30:00;2;ECE BACHELOR;Eiffel 5;5051.01
MOKHBER ARASH;E5-S-3.01 (M) (52);<CLASSES> Ing3 Gr01;Chimie PREPA;30/03/2026;13:00:00;1;ECE PREPA;Eiffel 5;5052.03
DUPONT JEAN;E5-S-3.01 (M) (52);<CLASSES> Ing4 Gr02;Thermodynamique;30/03/2026;14:00:00;1;ECE PREPA;Eiffel 5;5050.03
DUPONT JEAN;E5-S-3.01 (M) (52);<CLASSES> Ing4 Gr02;Electronique ING2;30/03/2026;18:30:00;1;ECE INGENIEUR;Eiffel 5;5049.02
THOMAS ALICE;E5-S-3.01 (M) (52);<BACH2> Bachelor 2 Gr02;Traitement du signal;30/03/2026;19:45:00;1;ECE INGENIEUR;Eiffel 5;5048.03
DUBOIS LUCAS;Salle - A-303 (F) (42) (Meet-up);<CLASSES> Ing2 Gr02;Robotique;30/03/2026;08:30:00;1;ECE INGENIEUR;Eiffel 2;5014.05
LAURENT MARIE;Salle - A-306 (M) (35) (Jabra);<CLASSES> Ing2 Gr03;Conception numerique sur FPGA;30/03/2026;08:30:00;1;ECE INGENIEUR;Eiffel 2;5007.02
LEFEBVRE JULIE;Salle - A-306 (M) (35) (Jabra);<PREPA1> Prepa 1ere annee Gr01;Electronique ING2;30/03/2026;13:00:00;2;ECE INGENIEUR;Eiffel 2;5006.05
MULLER STEFAN;Salle - A-306 (M) (35) (Jabra);<CLASSES> Ing2 Gr04;Finance d'entreprise;30/03/2026;18:30:00;2;ECE BACHELOR;Eiffel 2;5008.02
ROBIN CAMILLE;Salle - A-306 (M) (35) (Jabra);<PREPA2> Prepa 2eme annee Gr02;Systemes embarques;30/03/2026;19:45:00;1;ECE INGENIEUR;Eiffel 2;5005.02
LEROY INÈS;Salle - A-307 (F) (42) (Meet-up);<MAST2> Master 2 DevOps;Comptabilite analytique;30/03/2026;10:45:00;2;ECE BACHELOR;Eiffel 2;5076.04
VINCENT MARC;Salle - A-307 (F) (42) (Meet-up);<CLASSES> Ing2 Gr04;Data Science avancee;30/03/2026;17:30:00;2;ECE MASTER;Eiffel 2;5075.01
VINCENT MARC;Salle - A-307 (F) (42) (Meet-up);<BACH3> Bachelor 3 Gr01;Economie d'entreprise;30/03/2026;19:45:00;1;ECE BACHELOR;Eiffel 2;5077.02
DAVID SARAH;Salle - A-308 (F) (46) (Meet-up);<CLASSES> Ing3 Gr03;Electronique de puissance;30/03/2026;08:30:00;2;ECE INGENIEUR;Eiffel 2;5015.04
ROUSSEAU LISA;Salle - A-308 (F) (46) (Meet-up);<CLASSES> Ing2 Gr06;Business Intelligence;30/03/2026;13:00:00;2;ECE BACHELOR;Eiffel 2;5016.03
WILSON JAMES;Salle - A-308 (F) (46) (Meet-up);<CLASSES> Ing2 Gr06;Analyse et algebre;30/03/2026;19:45:00;1;ECE PREPA;Eiffel 2;5017.02
GULDNER NAJMA;Salle - A-310 (F) (46) (Meet-up);<Ing2 NVX> Ing2 Nouveaux;Electrostatique;30/03/2026;08:30:00;1;ECE PREPA;Eiffel 2;5018.05
NGUYEN THANH;Salle - A-310 (F) (46) (Meet-up);<CLASSES> Ing2 Gr06;Communication;30/03/2026;13:00:00;2;ECE BACHELOR;Eiffel 2;5019.03
WILSON JAMES;Salle - A-310 (F) (46) (Meet-up);<CLASSES> Ing2 Gr06;Energie renouvelable;30/03/2026;15:15:00;2;ECE INGENIEUR;Eiffel 2;5020.01
GULDNER NAJMA;Salle - A-314 (M) (30) (Jabra);<CLASSES> Ing2 Gr03;Reseaux et telecoms;30/03/2026;14:00:00;1;ECE INGENIEUR;Eiffel 2;5027.04
MOKHBER ARASH;Salle - B-304 (Chariot info) (F) (46) (Meet-up);<CLASSES> Ing2 Gr03;Machine Learning;30/03/2026;08:30:00;1;ECE MASTER;Eiffel 2;5132.05
WILSON JAMES;Salle - B-304 (Chariot info) (F) (46) (Meet-up);<BACH2> Bachelor 2 Gr02;Reseaux et telecoms;30/03/2026;13:00:00;1;ECE INGENIEUR;Eiffel 2;5131.01
MARTINEZ CARLOS;Salle - B-304 (Chariot info) (F) (46) (Meet-up);<CLASSES> Ing3 Gr02;Business Intelligence;30/03/2026;14:00:00;1;ECE BACHELOR;Eiffel 2;5130.04
FONTAINE ANNA;Salle - B-304 (Chariot info) (F) (46) (Meet-up);<CLASSES> Ing2 Gr04;Robotique;30/03/2026;17:30:00;2;ECE INGENIEUR;Eiffel 2;5129.05
BERNARD CLAIRE;Salle - B-304 (Chariot info) (F) (46) (Meet-up);<CLASSES> Ing2 Gr06;Chimie PREPA;30/03/2026;19:45:00;1;ECE PREPA;Eiffel 2;5133.03
DUBOIS LUCAS;Salle - F-301 (M) (28) (Jabra);<CLASSES> Ing3 Gr01;Computer Vision;30/03/2026;15:15:00;2;ECE MASTER;Lyon Universite (25);5127.03
DUBOIS LUCAS;Salle - F-301 (M) (28) (Jabra);<BACH1> Bachelor 1 Gr02;Informatique PREPA;30/03/2026;17:30:00;1;ECE PREPA;Lyon Universite (25);5128.01
BERNARD CLAIRE;Salle - F-302 (M) (36) (Jabra);<MAST2> Master 2 IA;Mecanique des fluides;30/03/2026;08:30:00;2;ECE PREPA;Lyon Universite (25);5109.04
THOMAS ALICE;Salle - F-302 (M) (36) (Jabra);<BACH3> Bachelor 3 Gr01;Protocoles IoT;30/03/2026;13:00:00;2;ECE INGENIEUR;Lyon Universite (25);5108.04
GULDNER NAJMA;Salle - F-302 (M) (36) (Jabra);<CLASSES> Ing2 Gr04;Intelligence artificielle;30/03/2026;15:15:00;2;ECE MASTER;Lyon Universite (25);5111.01
VIDAL PAULINE;Salle - F-302 (M) (36) (Jabra);<Ing2 NVX> Ing2 Nouveaux;Analyse et algebre;30/03/2026;18:30:00;1;ECE PREPA;Lyon Universite (25);5110.04
DUBOIS LUCAS;Salle - F-305 (F) (50) (Meet-up);<BACH2> Bachelor 2 Gr01;Cloud Computing;30/03/2026;10:45:00;2;ECE MASTER;Lyon Universite (25);5094.01
MULLER STEFAN;Salle - F-305 (F) (50) (Meet-up);<PREPA1> Prepa 1ere annee Gr01;Microcontroleurs;30/03/2026;19:45:00;1;ECE INGENIEUR;Lyon Universite (25);5095.03
VIDAL PAULINE;Salle - G-302 (F) (47) (Meet-up);<CLASSES> Ing4 Gr01;Microcontroleurs;30/03/2026;10:45:00;2;ECE INGENIEUR;Lyon Universite (25);5060.05
MOKHBER ARASH;Salle - G-302 (F) (47) (Meet-up);<CLASSES> Ing2 Gr02;Blockchain et cryptographie;30/03/2026;13:00:00;1;ECE MASTER;Lyon Universite (25);5059.05
HAJ HAMAD IMEN;Salle - G-302 (F) (47) (Meet-up);<MAST1> Master 1 Cybersec;Automatique;30/03/2026;17:30:00;2;ECE INGENIEUR;Lyon Universite (25);5058.05
LEROY INÈS;Salle - G-302 (F) (47) (Meet-up);<MAST2> Master 2 IA;Reseaux et telecoms;30/03/2026;18:30:00;1;ECE INGENIEUR;Lyon Universite (25);5062.05
LECLERC PAUL;Salle - G-302 (F) (47) (Meet-up);<MAST1> Master 1 DataScience;Mathematiques PREPA;30/03/2026;19:45:00;1;ECE PREPA;Lyon Universite (25);5061.01
HAJ HAMAD IMEN;Salle - H-401 (M) (40) (Meet-up);<BACH1> Bachelor 1 Gr03;Marketing digital;30/03/2026;08:30:00;2;ECE BACHELOR;Lyon Universite (25);5024.05
VIDAL PAULINE;Salle - H-401 (M) (40) (Meet-up);<CLASSES> Ing2 Gr02;Analyse et algebre;30/03/2026;10:45:00;1;ECE PREPA;Lyon Universite (25);5025.03
PETIT ANTOINE;Salle - H-401 (M) (40) (Meet-up);<CLASSES> Ing4 Gr02;Energie renouvelable;30/03/2026;15:15:00;2;ECE INGENIEUR;Lyon Universite (25);5022.03
CHEVALIER MAXIME;Salle - H-401 (M) (40) (Meet-up);<CLASSES> Ing2 Gr05;Machine Learning;30/03/2026;17:30:00;1;ECE MASTER;Lyon Universite (25);5023.04
DAVID SARAH;Salle - I-401 (Labo) (F) (40);<PREPA1> Prepa 1ere annee Gr02;RGPD et conformite;30/03/2026;10:45:00;2;ECE MASTER;Eiffel 4;5066.03
DUBOIS LUCAS;Salle - I-401 (Labo) (F) (40);<BACH2> Bachelor 2 Gr01;Physique PREPA;30/03/2026;13:00:00;1;ECE PREPA;Eiffel 4;5067.04
PETIT ANTOINE;Salle - I-401 (Labo) (F) (40);<PREPA2> Prepa 2eme annee Gr02;Systemes embarques;30/03/2026;14:00:00;1;ECE INGENIEUR;Eiffel 4;5063.02
LAURENT MARIE;Salle - I-401 (Labo) (F) (40);<CLASSES> Ing3 Gr03;Business Intelligence;30/03/2026;15:15:00;2;ECE BACHELOR;Eiffel 4;5064.02
LAURENT MARIE;Salle - I-401 (Labo) (F) (40);<CLASSES> Ing2 Gr02;Electronique de puissance;30/03/2026;17:30:00;2;ECE INGENIEUR;Eiffel 4;5065.03
WILSON JAMES;Salle - I-405 (M) (40) (Meet-up);<MAST1> Master 1 DataScience;Traitement du signal;30/03/2026;10:45:00;2;ECE INGENIEUR;Eiffel 4;5093.03
HAJ HAMAD IMEN;Salle - I-405 (M) (40) (Meet-up);<MAST1> Master 1 DataScience;Mathematiques PREPA;30/03/2026;13:00:00;2;ECE PREPA;Eiffel 4;5092.04
LEROY INÈS;Salle - I-405 (M) (40) (Meet-up);<CLASSES> Ing2 Gr05;Ressources humaines;30/03/2026;14:00:00;1;ECE BACHELOR;Eiffel 4;5090.02
DUPONT JEAN;Salle - I-405 (M) (40) (Meet-up);<PREPA1> Prepa 1ere annee Gr02;Computer Vision;30/03/2026;15:15:00;2;ECE MASTER;Eiffel 4;5091.01
VINCENT MARC;Salle - I-407 (M) (40);<PREPA2> Prepa 2eme annee Gr01;RGPD et conformite;30/03/2026;10:45:00;2;ECE MASTER;Eiffel 4;5054.01
LEROY INÈS;Salle - I-407 (M) (40);<BACH3> Bachelor 3 Gr01;Machine Learning;30/03/2026;13:00:00;1;ECE MASTER;Eiffel 4;5053.04
LAURENT MARIE;Salle - I-407 (M) (40);<CLASSES> Ing3 Gr02;Architecture logicielle;30/03/2026;14:00:00;1;ECE MASTER;Eiffel 4;5056.03
NGUYEN THANH;Salle - I-407 (M) (40);<BACH2> Bachelor 2 Gr02;Entrepreneuriat;30/03/2026;17:30:00;1;ECE BACHELOR;Eiffel 4;5057.01
HAJ HAMAD IMEN;Salle - I-407 (M) (40);<CLASSES> Ing2 Gr02;NLP;30/03/2026;19:45:00;1;ECE MASTER;Eiffel 4;5055.01
NGUYEN THANH;Salle - I-408 (M) (28);<CLASSES> Ing4 Gr01;Droit des affaires;30/03/2026;08:30:00;2;ECE BACHELOR;Eiffel 4;5105.05
LEROY INÈS;Salle - I-408 (M) (28);<MAST1> Master 1 Cybersec;Ressources humaines;30/03/2026;15:15:00;1;ECE BACHELOR;Eiffel 4;5106.04
DAVID SARAH;Salle - I-408 (M) (28);<MAST1> Master 1 Cybersec;RGPD et conformite;30/03/2026;18:30:00;2;ECE MASTER;Eiffel 4;5107.02
LECLERC PAUL;Salle - I-408 (M) (28);<CLASSES> Ing2 Gr02;Gestion de projet;30/03/2026;19:45:00;1;ECE BACHELOR;Eiffel 4;5104.04
WILSON JAMES;Salle - J-501 (M) (40) (Meet-up);<CLASSES> Ing3 Gr03;NLP;30/03/2026;10:45:00;1;ECE MASTER;Eiffel 4;5034.01
BERNARD CLAIRE;Salle - J-501 (M) (40) (Meet-up);<CLASSES> Ing4 Gr02;Conception numerique sur FPGA;30/03/2026;17:30:00;2;ECE INGENIEUR;Eiffel 4;5035.02
LAMBERT HUGO;Salle - J-501 (M) (40) (Meet-up);<PREPA2> Prepa 2eme annee Gr01;Audit SI;30/03/2026;18:30:00;2;ECE MASTER;Eiffel 4;5036.01
LAURENT MARIE;Salle - J-502 (M) (32);<PREPA2> Prepa 2eme annee Gr01;Reseaux et telecoms;30/03/2026;10:45:00;2;ECE INGENIEUR;Eiffel 4;5046.01
KHOURY CLAUDE;Salle - J-502 (M) (32);<MAST2> Master 2 IA;Comptabilite analytique;30/03/2026;13:00:00;1;ECE BACHELOR;Eiffel 4;5044.04
DUBOIS LUCAS;Salle - J-502 (M) (32);<CLASSES> Ing2 Gr05;Finance d'entreprise;30/03/2026;15:15:00;2;ECE BACHELOR;Eiffel 4;5043.05
DUBOIS LUCAS;Salle - J-502 (M) (32);<CLASSES> Ing4 Gr01;Informatique PREPA;30/03/2026;18:30:00;2;ECE PREPA;Eiffel 4;5045.05
MICHEL PIERRE;Salle 102 - 136 QDC (F) (71);<PREPA2> Prepa 2eme annee Gr01;Communication;30/03/2026;10:45:00;2;ECE BACHELOR;Chartrons(136);5101.04
LAMBERT HUGO;Salle 102 - 136 QDC (F) (71);<CLASSES> Ing4 Gr01;Energie renouvelable;30/03/2026;18:30:00;2;ECE INGENIEUR;Chartrons(136);5102.02
KHOURY CLAUDE;Salle 102 - 136 QDC (F) (71);<MAST1> Master 1 Cloud;Physique PREPA;30/03/2026;19:45:00;1;ECE PREPA;Chartrons(136);5103.02
LEFEBVRE JULIE;Salle 103 - 136 QDC (F) (59);<CLASSES> Ing2 Gr06;Analyse et algebre;30/03/2026;10:45:00;2;ECE PREPA;Chartrons(136);5001.02
PETIT ANTOINE;Salle 103 - 136 QDC (F) (59);<CLASSES> Ing2 Gr01;Communication;30/03/2026;17:30:00;2;ECE BACHELOR;Chartrons(136);5002.01
MULLER STEFAN;Salle 103 - 136 QDC (F) (59);<CLASSES> Ing2 Gr02;Entrepreneuriat;30/03/2026;18:30:00;1;ECE BACHELOR;Chartrons(136);5003.04
THOMAS ALICE;Salle 103 - 136 QDC (F) (59);<MAST1> Master 1 Cybersec;Chimie PREPA;30/03/2026;19:45:00;1;ECE PREPA;Chartrons(136);5004.01
VINCENT MARC;Salle 104 A - 136 QDC (Laboratoire) (34);<CLASSES> Ing4 Gr02;Management;30/03/2026;13:00:00;1;ECE BACHELOR;Chartrons(136);5120.05
DUBOIS LUCAS;Salle 104 A - 136 QDC (Laboratoire) (34);<BACH1> Bachelor 1 Gr01;Architecture logicielle;30/03/2026;14:00:00;2;ECE MASTER;Chartrons(136);5121.02
BENALI KARIM;Salle 104 A - 136 QDC (Laboratoire) (34);<Ing2 NVX> Ing2 Nouveaux;Electronique ING2;30/03/2026;15:15:00;2;ECE INGENIEUR;Chartrons(136);5118.03
DUPONT JEAN;Salle 104 A - 136 QDC (Laboratoire) (34);<BACH1> Bachelor 1 Gr02;Cybersecurite;30/03/2026;17:30:00;1;ECE MASTER;Chartrons(136);5119.03
BENALI KARIM;Salle 104 A - 136 QDC (Laboratoire) (34);<CLASSES> Ing4 Gr01;Ressources humaines;30/03/2026;19:45:00;1;ECE BACHELOR;Chartrons(136);5117.03
GARCIA ELENA;Salle 107 - 136 QDC (F) (61);<BACH1> Bachelor 1 Gr02;Anglais PREPA;30/03/2026;14:00:00;1;ECE PREPA;Chartrons(136);5084.02
MULLER STEFAN;Salle 107 - 136 QDC (F) (61);<BACH2> Bachelor 2 Gr02;Comptabilite analytique;30/03/2026;17:30:00;2;ECE BACHELOR;Chartrons(136);5086.05
DUPONT JEAN;Salle 107 - 136 QDC (F) (61);<BACH3> Bachelor 3 Gr01;Droit des affaires;30/03/2026;18:30:00;1;ECE BACHELOR;Chartrons(136);5085.05
FONTAINE ANNA;Salle 107 - 136 QDC (F) (61);<BACH1> Bachelor 1 Gr01;Mathematiques PREPA;30/03/2026;19:45:00;1;ECE PREPA;Chartrons(136);5083.03
WILSON JAMES;Salle 108 - 136 QDC (40);<CLASSES> Ing2 Gr04;Entrepreneuriat;30/03/2026;08:30:00;2;ECE BACHELOR;Chartrons(136);5068.02
KHOURY CLAUDE;Salle 108 - 136 QDC (40);<MAST1> Master 1 Cybersec;Communication;30/03/2026;17:30:00;2;ECE BACHELOR;Chartrons(136);5069.03
DUBOIS LUCAS;Salle 110 - 136 QDC (F) (101);<Ing2 NVX> Ing2 Nouveaux;Audit SI;30/03/2026;14:00:00;1;ECE MASTER;Chartrons(136);5047.05
MARTINEZ CARLOS;Salle C-0.14 - E3 (40);<BACH1> Bachelor 1 Gr03;Communication;30/03/2026;10:45:00;1;ECE BACHELOR;Eiffel 3;5099.03
DUPONT JEAN;Salle C-0.14 - E3 (40);<CLASSES> Ing2 Gr05;Ressources humaines;30/03/2026;13:00:00;1;ECE BACHELOR;Eiffel 3;5096.05
FONTAINE ANNA;Salle C-0.14 - E3 (40);<PREPA2> Prepa 2eme annee Gr01;Droit des affaires;30/03/2026;17:30:00;2;ECE BACHELOR;Eiffel 3;5098.02
LAMBERT HUGO;Salle C-0.14 - E3 (40);<BACH1> Bachelor 1 Gr01;DevOps et CI/CD;30/03/2026;18:30:00;1;ECE MASTER;Eiffel 3;5097.03
LAMBERT HUGO;Salle C-0.14 - E3 (40);<PREPA1> Prepa 1ere annee Gr01;Electronique de puissance;30/03/2026;19:45:00;1;ECE INGENIEUR;Eiffel 3;5100.02
LAMBERT HUGO;Salle C-1.07 - E3 (M) (40);<MAST2> Master 2 IA;Physique PREPA;30/03/2026;10:45:00;2;ECE PREPA;Eiffel 3;5078.05
SIMON THOMAS;Salle C-1.07 - E3 (M) (40);<BACH2> Bachelor 2 Gr01;Ressources humaines;30/03/2026;13:00:00;1;ECE BACHELOR;Eiffel 3;5081.04
ROUSSEAU LISA;Salle C-1.07 - E3 (M) (40);<MAST2> Master 2 DevOps;Cloud Computing;30/03/2026;14:00:00;2;ECE MASTER;Eiffel 3;5079.01
LEROY INÈS;Salle C-1.07 - E3 (M) (40);<CLASSES> Ing2 Gr06;Analyse et algebre;30/03/2026;17:30:00;2;ECE PREPA;Eiffel 3;5080.02
CHEVALIER MAXIME;Salle C-1.07 - E3 (M) (40);<CLASSES> Ing4 Gr02;Energie renouvelable;30/03/2026;19:45:00;1;ECE INGENIEUR;Eiffel 3;5082.05
MARTIN SOPHIE;Salle C-2.01 - E3 (M) (44);<CLASSES> Ing3 Gr01;Electronique de puissance;30/03/2026;08:30:00;1;ECE INGENIEUR;Eiffel 3;5031.04
NGUYEN THANH;Salle C-2.01 - E3 (M) (44);<PREPA1> Prepa 1ere annee Gr01;Economie d'entreprise;30/03/2026;14:00:00;1;ECE BACHELOR;Eiffel 3;5032.05
NGUYEN THANH;Salle C-2.01 - E3 (M) (44);<CLASSES> Ing4 Gr02;Finance d'entreprise;30/03/2026;15:15:00;1;ECE BACHELOR;Eiffel 3;5033.03
THOMAS ALICE;Salle C-2.01 - E3 (M) (44);<CLASSES> Ing2 Gr05;Reseaux et telecoms;30/03/2026;18:30:00;2;ECE INGENIEUR;Eiffel 3;5030.01
NGUYEN THANH;Salle EM216 (Labo Elec) - E1 (F) (40) (Meet-up);<BACH1> Bachelor 1 Gr01;Cloud Computing;30/03/2026;13:00:00;2;ECE MASTER;Eiffel 1;5135.05
BENALI KARIM;Salle EM216 (Labo Elec) - E1 (F) (40) (Meet-up);<CLASSES> Ing2 Gr06;Traitement du signal;30/03/2026;14:00:00;1;ECE INGENIEUR;Eiffel 1;5136.05
SIMON THOMAS;Salle EM216 (Labo Elec) - E1 (F) (40) (Meet-up);<Ing2 NVX> Ing2 Nouveaux;Physique PREPA;30/03/2026;15:15:00;1;ECE PREPA;Eiffel 1;5134.03
VINCENT MARC;Salle EM216 (Labo Elec) - E1 (F) (40) (Meet-up);<CLASSES> Ing2 Gr05;Cybersecurite;30/03/2026;17:30:00;2;ECE MASTER;Eiffel 1;5137.03
CHEVALIER MAXIME;Salle EM218 (Labo Elec) - E1 (F) (40) (Meet-up);<CLASSES> Ing3 Gr02;Data Science avancee;30/03/2026;08:30:00;2;ECE MASTER;Eiffel 1;5125.04
LECLERC PAUL;Salle EM218 (Labo Elec) - E1 (F) (40) (Meet-up);<PREPA2> Prepa 2eme annee Gr02;Comptabilite analytique;30/03/2026;10:45:00;2;ECE BACHELOR;Eiffel 1;5123.02
DUPONT JEAN;Salle EM218 (Labo Elec) - E1 (F) (40) (Meet-up);<MAST2> Master 2 IA;Economie d'entreprise;30/03/2026;15:15:00;1;ECE BACHELOR;Eiffel 1;5126.01
MICHEL PIERRE;Salle EM218 (Labo Elec) - E1 (F) (40) (Meet-up);<CLASSES> Ing4 Gr02;Informatique PREPA;30/03/2026;18:30:00;1;ECE PREPA;Eiffel 1;5122.04
ROBIN CAMILLE;Salle EM218 (Labo Elec) - E1 (F) (40) (Meet-up);<CLASSES> Ing2 Gr05;NLP;30/03/2026;19:45:00;1;ECE MASTER;Eiffel 1;5124.01
LECLERC PAUL;Salle EM312 (Labo Elec) - E1 (F) (40) (Meet-up);<BACH1> Bachelor 1 Gr01;Economie d'entreprise;30/03/2026;18:30:00;1;ECE BACHELOR;Eiffel 1;5026.01
LAURENT MARIE;Salle EM326 (Labo Elec / Info) - E1 (F) (40) (Meet-up);<PREPA2> Prepa 2eme annee Gr01;Data Science avancee;30/03/2026;14:00:00;2;ECE MASTER;Eiffel 1;5021.04
NGUYEN THANH;Salle EM410 - E1 (M) (35);<CLASSES> Ing2 Gr06;Gestion de projet;30/03/2026;19:45:00;1;ECE BACHELOR;Eiffel 1;5089.05
FONTAINE ANNA;Salle EM412 (Labo Info) - E1 (F) (38) (Meet-up);<CLASSES> Ing4 Gr02;Automatique;30/03/2026;10:45:00;2;ECE INGENIEUR;Eiffel 1;5115.03
MARTIN SOPHIE;Salle EM412 (Labo Info) - E1 (F) (38) (Meet-up);<CLASSES> Ing2 Gr05;Communication;30/03/2026;13:00:00;1;ECE BACHELOR;Eiffel 1;5114.04
DUPONT JEAN;Salle EM412 (Labo Info) - E1 (F) (38) (Meet-up);<CLASSES> Ing4 Gr02;Droit des affaires;30/03/2026;14:00:00;1;ECE BACHELOR;Eiffel 1;5112.01
NGUYEN THANH;Salle EM412 (Labo Info) - E1 (F) (38) (Meet-up);<CLASSES> Ing2 Gr03;Intelligence artificielle;30/03/2026;17:30:00;1;ECE MASTER;Eiffel 1;5116.02
BERNARD CLAIRE;Salle EM412 (Labo Info) - E1 (F) (38) (Meet-up);<CLASSES> Ing2 Gr06;Informatique PREPA;30/03/2026;19:45:00;1;ECE PREPA;Eiffel 1;5113.02
FONTAINE ANNA;CD-1.11 N - Co-DF (M) (32);<CLASSES> Ing3 Gr01;Mecanique des fluides;31/03/2026;08:30:00;1;ECE PREPA;Coeur defense;5148.03
MICHEL PIERRE;CD-1.11 N - Co-DF (M) (32);<PREPA2> Prepa 2eme annee Gr01;Mathematiques PREPA;31/03/2026;10:45:00;2;ECE PREPA;Coeur defense;5149.02
MOKHBER ARASH;CD-1.11 N - Co-DF (M) (32);<BACH1> Bachelor 1 Gr01;Anglais PREPA;31/03/2026;14:00:00;2;ECE PREPA;Coeur defense;5151.04
MOKHBER ARASH;CD-1.11 N - Co-DF (M) (32);<MAST1> Master 1 DataScience;Chimie PREPA;31/03/2026;15:15:00;2;ECE PREPA;Coeur defense;5152.01
MOKHBER ARASH;CD-1.11 N - Co-DF (M) (32);<PREPA2> Prepa 2eme annee Gr01;Droit des affaires;31/03/2026;19:45:00;1;ECE BACHELOR;Coeur defense;5150.02
LECLERC PAUL;CD-3.10 N - Co-DF (M) (44) (Clevertouch);<CLASSES> Ing3 Gr03;Ressources humaines;31/03/2026;18:30:00;1;ECE BACHELOR;Coeur defense;5174.01
DAVID SARAH;CD-3.14 N  - Co-DF (M) (36) (Clevertouch);<BACH1> Bachelor 1 Gr03;RGPD et conformite;31/03/2026;14:00:00;2;ECE MASTER;Coeur defense;5155.02
MOREAU EMILIE;CD-3.14 N  - Co-DF (M) (36) (Clevertouch);<MAST1> Master 1 Cybersec;Automatique;31/03/2026;17:30:00;2;ECE INGENIEUR;Coeur defense;5157.05
