[Nom enseignant];[Nom salle];[Promo];[Matiere];[Date debut];[Heure debut];[Duree];[Ecole];[Site campus];[Numero cours]
LEFEBVRE JULIE;CD-6.08 N - Co-DF (M) (44) (Clevertouch);<CLASSES> Ing2 Gr05;Mathematiques PREPA;02/03/2026;08:30:00;2;ECE PREPA;Coeur defense;1040.05
THOMAS ALICE;CD-6.08 N - Co-DF (M) (44) (Clevertouch);<MAST1> Master 1 Cybersec;Mathematiques PREPA;02/03/2026;15:15:00;2;ECE PREPA;Coeur defense;1041.03
DUBOIS LUCAS;CD-6.08 N - Co-DF (M) (44) (Clevertouch);<MAST1> Master 1 DataScience;Architecture logicielle;02/03/2026;17:30:00;2;ECE MASTER;Coeur defense;1039.05
DAVID SARAH;CD-6.08 N - Co-DF (M) (44) (Clevertouch);<CLASSES> Ing4 Gr01;Comptabilite analytique;02/03/2026;18:30:00;1;ECE BACHELOR;Coeur defense;1038.01
GULDNER NAJMA;E5-S-1.05 (47);<Ing2 NVX> Ing2 Nouveaux;Comptabilite analytique;02/03/2026;17:30:00;1;ECE BACHELOR;Eiffel 5;1057.05
GARCIA ELENA;E5-S-1.05 (47);<MAST2> Master 2 IA;Automatique;02/03/2026;19:45:00;1;ECE INGENIEUR;Eiffel 5;1056.04
THOMAS ALICE;E5-S-2.05 (F) (49);<MAST1> Master 1 DataScience;Cloud Computing;02/03/2026;08:30:00;2;ECE MASTER;Eiffel 5;1106.01
LAMBERT HUGO;E5-S-2.05 (F) (49);<CLASSES> Ing2 Gr04;Comptabilite analytique;02/03/2026;13:00:00;1;ECE BACHELOR;Eiffel 5;1105.01
LECLERC PAUL;E5-S-2.05 (F) (49);<PREPA2> Prepa 2eme annee Gr01;Informatique PREPA;02/03/2026;15:15:00;2;ECE PREPA;Eiffel 5;1104.04
GARCIA ELENA;E5-S-2.05 (F) (49);<MAST1> Master 1 DataScience;Architecture logicielle;02/03/2026;19:45:00;1;ECE MASTER;Eiffel 5;1107.03
KHOURY CLAUDE;G4-H18 (M) (40);<CLASSES> Ing3 Gr01;IA Ingenieur;02/03/2026;08:30:00;2;ECE INGENIEUR;Bacalan (H18);1047.05
LAURENT MARIE;G4-H18 (M) (40);<MAST1> Master 1 Cybersec;Cloud Computing;02/03/2026;14:00:00;1;ECE MASTER;Bacalan (H18);1046.05
THOMAS ALICE;G4-H18 (M) (40);<BACH1> Bachelor 1 Gr01;Traitement du signal;02/03/2026;19:45:00;1;ECE INGENIEUR;Bacalan (H18);1045.04
BERNARD CLAIRE;Salle - A-303 (F) (42) (Meet-up);<MAST1> Master 1 DataScience;Marketing digital;02/03/2026;13:00:00;1;ECE BACHELOR;Eiffel 2;1111.05
DUPONT JEAN;Salle - A-303 (F) (42) (Meet-up);<BACH1> Bachelor 1 Gr01;Chimie PREPA;02/03/2026;14:00:00;1;ECE PREPA;Eiffel 2;1109.03
MICHEL PIERRE;Salle - A-303 (F) (42) (Meet-up);<PREPA2> Prepa 2eme annee Gr01;Traitement du signal;02/03/2026;17:30:00;2;ECE INGENIEUR;Eiffel 2;1110.04
KHOURY CLAUDE;Salle - A-303 (F) (42) (Meet-up);<CLASSES> Ing2 Gr05;Mathematiques PREPA;02/03/2026;18:30:00;2;ECE PREPA;Eiffel 2;1108.03
GARCIA ELENA;Salle - A-306 (M) (35) (Jabra);<CLASSES> Ing2 Gr02;Marketing digital;02/03/2026;08:30:00;1;ECE BACHELOR;Eiffel 2;1084.02
VINCENT MARC;Salle - A-306 (M) (35) (Jabra);<PREPA1> Prepa 1ere annee Gr01;IA Ingenieur;02/03/2026;10:45:00;1;ECE INGENIEUR;Eiffel 2;1085.03
LAURENT MARIE;Salle - A-306 (M) (35) (Jabra);<CLASSES> Ing4 Gr01;Management;02/03/2026;17:30:00;1;ECE BACHELOR;Eiffel 2;1083.01
VINCENT MARC;Salle - A-306 (M) (35) (Jabra);<BACH1> Bachelor 1 Gr01;Finance d'entreprise;02/03/2026;18:30:00;1;ECE BACHELOR;Eiffel 2;1086.04
DAVID SARAH;Salle - A-308 (F) (46) (Meet-up);<CLASSES> Ing4 Gr01;Conception numerique sur FPGA;02/03/2026;08:30:00;1;ECE INGENIEUR;Eiffel 2;1093.03
ROUSSEAU LISA;Salle - A-308 (F) (46) (Meet-up);<PREPA2> Prepa 2eme annee Gr02;Electronique ING2;02/03/2026;10:45:00;1;ECE INGENIEUR;Eiffel 2;1094.04
ROUX NICOLAS;Salle - A-310 (F) (46) (Meet-up);<BACH2> Bachelor 2 Gr01;Gestion de projet;02/03/2026;13:00:00;2;ECE BACHELOR;Eiffel 2;1034.01
ROUSSEAU LISA;Salle - A-314 (M) (30) (Jabra);<PREPA1> Prepa 1ere annee Gr01;Marketing digital;02/03/2026;13:00:00;1;ECE BACHELOR;Eiffel 2;1014.05
THOMAS ALICE;Salle - A-314 (M) (30) (Jabra);<MAST1> Master 1 Cybersec;DevOps;02/03/2026;17:30:00;1;ECE MASTER;Eiffel 2;1015.02
ROUX NICOLAS;Salle - A-314 (M) (30) (Jabra);<MAST1> Master 1 DataScience;Management;02/03/2026;19:45:00;1;ECE BACHELOR;Eiffel 2;1016.03
MARTIN SOPHIE;Salle - B-304 (Chariot info) (F) (46) (Meet-up);<CLASSES> Ing2 Gr03;Data Science;02/03/2026;15:15:00;1;ECE MASTER;Eiffel 2;1013.03
PETIT ANTOINE;Salle - B-304 (Chariot info) (F) (46) (Meet-up);<CLASSES> Ing2 Gr05;Marketing digital;02/03/2026;18:30:00;2;ECE BACHELOR;Eiffel 2;1012.05
SIMON THOMAS;Salle - B-304 (Chariot info) (F) (46) (Meet-up);<PREPA2> Prepa 2eme annee Gr01;DevOps;02/03/2026;19:45:00;1;ECE MASTER;Eiffel 2;1011.01
MICHEL PIERRE;Salle - F-301 (M) (28) (Jabra);<MAST1> Master 1 Cybersec;Gestion de projet;02/03/2026;08:30:00;1;ECE BACHELOR;Lyon Universite (25);1072.04
KHOURY CLAUDE;Salle - F-301 (M) (28) (Jabra);<Ing2 NVX> Ing2 Nouveaux;IA Ingenieur;02/03/2026;10:45:00;1;ECE INGENIEUR;Lyon Universite (25);1073.01
MOKHBER ARASH;Salle - F-301 (M) (28) (Jabra);<PREPA2> Prepa 2eme annee Gr02;Automatique;02/03/2026;15:15:00;2;ECE INGENIEUR;Lyon Universite (25);1075.03
GULDNER NAJMA;Salle - F-301 (M) (28) (Jabra);<CLASSES> Ing3 Gr02;Cybersecurite;02/03/2026;19:45:00;1;ECE MASTER;Lyon Universite (25);1074.03
SIMON THOMAS;Salle - F-302 (M) (36) (Jabra);<MAST1> Master 1 Cybersec;Marketing digital;02/03/2026;15:15:00;1;ECE BACHELOR;Lyon Universite (25);1035.01
ROUSSEAU LISA;Salle - F-302 (M) (36) (Jabra);<CLASSES> Ing3 Gr02;Data Science;02/03/2026;18:30:00;1;ECE MASTER;Lyon Universite (25);1036.03
LECLERC PAUL;Salle - F-302 (M) (36) (Jabra);<MAST1> Master 1 DataScience;Management;02/03/2026;19:45:00;1;ECE BACHELOR;Lyon Universite (25);1037.01
MARTIN SOPHIE;Salle - F-305 (F) (50) (Meet-up);<PREPA2> Prepa 2eme annee Gr01;Informatique PREPA;02/03/2026;10:45:00;2;ECE PREPA;Lyon Universite (25);1042.05
DUBOIS LUCAS;Salle - F-305 (F) (50) (Meet-up);<BACH1> Bachelor 1 Gr01;Chimie PREPA;02/03/2026;13:00:00;2;ECE PREPA;Lyon Universite (25);1044.04
BERNARD CLAIRE;Salle - F-305 (F) (50) (Meet-up);<BACH1> Bachelor 1 Gr02;Data Science;02/03/2026;17:30:00;1;ECE MASTER;Lyon Universite (25);1043.05
THOMAS ALICE;Salle - G-301 (M) (32) (Meet-up);<CLASSES> Ing3 Gr01;Cloud Computing;02/03/2026;08:30:00;1;ECE MASTER;Lyon Universite (25);1031.03
HAJ HAMAD IMEN;Salle - G-301 (M) (32) (Meet-up);<CLASSES> Ing4 Gr01;DevOps;02/03/2026;17:30:00;1;ECE MASTER;Lyon Universite (25);1032.01
LEFEBVRE JULIE;Salle - G-301 (M) (32) (Meet-up);<CLASSES> Ing2 Gr03;Physique PREPA;02/03/2026;18:30:00;2;ECE PREPA;Lyon Universite (25);1030.01
MOREAU EMILIE;Salle - G-302 (F) (47) (Meet-up);<CLASSES> Ing3 Gr02;Anglais PREPA;02/03/2026;17:30:00;1;ECE PREPA;Lyon Universite (25);1063.02
GARCIA ELENA;Salle - I-401 (Labo) (F) (40);<MAST2> Master 2 IA;Robotique;02/03/2026;13:00:00;2;ECE INGENIEUR;Eiffel 4;1052.02
DAVID SARAH;Salle - I-401 (Labo) (F) (40);<PREPA2> Prepa 2eme annee Gr02;Cloud Computing;02/03/2026;14:00:00;1;ECE MASTER;Eiffel 4;1055.01
MICHEL PIERRE;Salle - I-401 (Labo) (F) (40);<CLASSES> Ing4 Gr01;Systemes embarques;02/03/2026;17:30:00;2;ECE INGENIEUR;Eiffel 4;1053.05
KHOURY CLAUDE;Salle - I-401 (Labo) (F) (40);<CLASSES> Ing2 Gr02;Finance d'entreprise;02/03/2026;18:30:00;2;ECE BACHELOR;Eiffel 4;1054.03
LECLERC PAUL;Salle - I-402 (M) (40) (Meet-up);<MAST2> Master 2 IA;Physique PREPA;02/03/2026;14:00:00;2;ECE PREPA;Eiffel 4;1098.01
GARCIA ELENA;Salle - I-402 (M) (40) (Meet-up);<Ing2 NVX> Ing2 Nouveaux;Finance d'entreprise;02/03/2026;17:30:00;1;ECE BACHELOR;Eiffel 4;1097.05
LECLERC PAUL;Salle - I-402 (M) (40) (Meet-up);<Ing2 NVX> Ing2 Nouveaux;IA Ingenieur;02/03/2026;18:30:00;2;ECE INGENIEUR;Eiffel 4;1096.05
LEFEBVRE JULIE;Salle - I-402 (M) (40) (Meet-up);<PREPA2> Prepa 2eme annee Gr02;Physique PREPA;02/03/2026;19:45:00;1;ECE PREPA;Eiffel 4;1095.02
MOREAU EMILIE;Salle - I-403 (M) (45) (Meet-up);<Ing2 NVX> Ing2 Nouveaux;Marketing digital;02/03/2026;10:45:00;2;ECE BACHELOR;Eiffel 4;1048.01
KHOURY CLAUDE;Salle - I-403 (M) (45) (Meet-up);<MAST1> Master 1 Cybersec;Conception numerique sur FPGA;02/03/2026;14:00:00;1;ECE INGENIEUR;Eiffel 4;1049.05
MICHEL PIERRE;Salle - I-403 (M) (45) (Meet-up);<CLASSES> Ing2 Gr05;Informatique PREPA;02/03/2026;15:15:00;1;ECE PREPA;Eiffel 4;1051.05
GULDNER NAJMA;Salle - I-403 (M) (45) (Meet-up);<CLASSES> Ing3 Gr02;IA Ingenieur;02/03/2026;18:30:00;1;ECE INGENIEUR;Eiffel 4;1050.02
MOREAU EMILIE;Salle - I-406 (M) (33);<BACH1> Bachelor 1 Gr01;Physique PREPA;02/03/2026;17:30:00;1;ECE PREPA;Eiffel 4;1081.01
MOKHBER ARASH;Salle - I-406 (M) (33);<CLASSES> Ing3 Gr02;Anglais PREPA;02/03/2026;18:30:00;1;ECE PREPA;Eiffel 4;1082.05
MARTIN SOPHIE;Salle - J-502 (M) (32);<MAST2> Master 2 IA;Architecture logicielle;02/03/2026;08:30:00;2;ECE MASTER;Eiffel 4;1112.03
PETIT ANTOINE;Salle - J-502 (M) (32);<BACH1> Bachelor 1 Gr01;Informatique PREPA;02/03/2026;18:30:00;1;ECE PREPA;Eiffel 4;1113.04
LEFEBVRE JULIE;Salle - J-504 (M) (62) (Meet-up);<CLASSES> Ing3 Gr01;Automatique;02/03/2026;18:30:00;1;ECE INGENIEUR;Eiffel 4;1027.03
THOMAS ALICE;Salle 102 - 136 QDC (F) (71);<CLASSES> Ing2 Gr01;Conception numerique sur FPGA;02/03/2026;08:30:00;2;ECE INGENIEUR;Chartrons(136);1089.04
GULDNER NAJMA;Salle 102 - 136 QDC (F) (71);<CLASSES> Ing4 Gr01;Architecture logicielle;02/03/2026;14:00:00;2;ECE MASTER;Chartrons(136);1088.05
BERNARD CLAIRE;Salle 103 - 136 QDC (F) (59);<CLASSES> Ing2 Gr05;Anglais PREPA;02/03/2026;14:00:00;1;ECE PREPA;Chartrons(136);1026.01
MOREAU EMILIE;Salle 105 - 136 QDC (F) (99);<CLASSES> Ing2 Gr02;Finance d'entreprise;02/03/2026;18:30:00;1;ECE BACHELOR;Chartrons(136);1087.01
KHOURY CLAUDE;Salle 106 - 136 QDC (F) (81);<PREPA2> Prepa 2eme annee Gr02;Management;02/03/2026;17:30:00;2;ECE BACHELOR;Chartrons(136);1033.04
MOREAU EMILIE;Salle 107 - 136 QDC (F) (61);<PREPA1> Prepa 1ere annee Gr01;Architecture logicielle;02/03/2026;13:00:00;1;ECE MASTER;Chartrons(136);1079.01
HAJ HAMAD IMEN;Salle 107 - 136 QDC (F) (61);<MAST2> Master 2 IA;Data Science;02/03/2026;18:30:00;1;ECE MASTER;Chartrons(136);1080.03
VINCENT MARC;Salle C-0.13 - E3 (40);<CLASSES> Ing3 Gr02;Cybersecurite;02/03/2026;10:45:00;2;ECE MASTER;Eiffel 3;1102.05
GARCIA ELENA;Salle C-0.13 - E3 (40);<PREPA2> Prepa 2eme annee Gr02;Cloud Computing;02/03/2026;15:15:00;2;ECE MASTER;Eiffel 3;1101.04
MOKHBER ARASH;Salle C-0.13 - E3 (40);<CLASSES> Ing2 Gr01;Reseaux et telecoms;02/03/2026;19:45:00;1;ECE INGENIEUR;Eiffel 3;1103.03
GULDNER NAJMA;Salle C-0.14 - E3 (40);<MAST1> Master 1 DataScience;Conception numerique sur FPGA;02/03/2026;08:30:00;1;ECE INGENIEUR;Eiffel 3;1009.05
MARTIN SOPHIE;Salle C-0.14 - E3 (40);<CLASSES> Ing2 Gr03;DevOps;02/03/2026;13:00:00;2;ECE MASTER;Eiffel 3;1010.05
PETIT ANTOINE;Salle C-0.14 - E3 (40);<CLASSES> Ing3 Gr02;Robotique;02/03/2026;15:15:00;2;ECE INGENIEUR;Eiffel 3;1007.02
DUPONT JEAN;Salle C-0.14 - E3 (40);<CLASSES> Ing2 Gr03;Conception numerique sur FPGA;02/03/2026;19:45:00;1;ECE INGENIEUR;Eiffel 3;1008.02
DUBOIS LUCAS;Salle C-1.06 - E3 (M) (40);<CLASSES> Ing4 Gr01;Management;02/03/2026;10:45:00;2;ECE BACHELOR;Eiffel 3;1068.05
KHOURY CLAUDE;Salle C-1.06 - E3 (M) (40);<CLASSES> Ing3 Gr02;Chimie PREPA;02/03/2026;15:15:00;1;ECE PREPA;Eiffel 3;1070.04
HAJ HAMAD IMEN;Salle C-1.06 - E3 (M) (40);<BACH1> Bachelor 1 Gr02;Intelligence artificielle;02/03/2026;17:30:00;2;ECE MASTER;Eiffel 3;1071.02
FONTAINE ANNA;Salle C-1.06 - E3 (M) (40);<CLASSES> Ing4 Gr01;Robotique;02/03/2026;18:30:00;2;ECE INGENIEUR;Eiffel 3;1069.03
ROUX NICOLAS;Salle EM216 (Labo Elec) - E1 (F) (40) (Meet-up);<CLASSES> Ing3 Gr02;Physique PREPA;02/03/2026;08:30:00;2;ECE PREPA;Eiffel 1;1078.03
VINCENT MARC;Salle EM216 (Labo Elec) - E1 (F) (40) (Meet-up);<CLASSES> Ing2 Gr05;Anglais PREPA;02/03/2026;14:00:00;2;ECE PREPA;Eiffel 1;1076.02
FONTAINE ANNA;Salle EM216 (Labo Elec) - E1 (F) (40) (Meet-up);<PREPA2> Prepa 2eme annee Gr01;Systemes embarques;02/03/2026;15:15:00;1;ECE INGENIEUR;Eiffel 1;1077.05
MICHEL PIERRE;Salle EM218 (Labo Elec) - E1 (F) (40) (Meet-up);<CLASSES> Ing2 Gr01;Intelligence artificielle;02/03/2026;14:00:00;1;ECE MASTER;Eiffel 1;1005.03
LAURENT MARIE;Salle EM218 (Labo Elec) - E1 (F) (40) (Meet-up);<BACH1> Bachelor 1 Gr02;Intelligence artificielle;02/03/2026;15:15:00;2;ECE MASTER;Eiffel 1;1006.02
GULDNER NAJMA;Salle EM218 (Labo Elec) - E1 (F) (40) (Meet-up);<CLASSES> Ing4 Gr01;Comptabilite analytique;02/03/2026;18:30:00;1;ECE BACHELOR;Eiffel 1;1004.05
PETIT ANTOINE;Salle EM220 - E1 (M) (48);<CLASSES> Ing2 Gr02;Cybersecurite;02/03/2026;08:30:00;1;ECE MASTER;Eiffel 1;1029.02
THOMAS ALICE;Salle EM220 - E1 (M) (48);<CLASSES> Ing2 Gr03;Informatique PREPA;02/03/2026;19:45:00;1;ECE PREPA;Eiffel 1;1028.01
DAVID SARAH;Salle EM222 (Labo Elec) - E1 (F) (40) (Meet-up);<BACH1> Bachelor 1 Gr02;Data Science;02/03/2026;13:00:00;2;ECE MASTER;Eiffel 1;1092.01
DUBOIS LUCAS;Salle EM222 (Labo Elec) - E1 (F) (40) (Meet-up);<MAST2> Master 2 IA;Comptabilite analytique;02/03/2026;14:00:00;1;ECE BACHELOR;Eiffel 1;1090.03
MOKHBER ARASH;Salle EM222 (Labo Elec) - E1 (F) (40) (Meet-up);<PREPA1> Prepa 1ere annee Gr01;Droit des affaires;02/03/2026;19:45:00;1;ECE BACHELOR;Eiffel 1;1091.01
LAURENT MARIE;Salle EM312 (Labo Elec) - E1 (F) (40) (Meet-up);<BACH1> Bachelor 1 Gr01;Traitement du signal;02/03/2026;13:00:00;2;ECE INGENIEUR;Eiffel 1;1025.02
LEFEBVRE JULIE;Salle EM312 (Labo Elec) - E1 (F) (40) (Meet-up);<MAST2> Master 2 IA;Informatique PREPA;02/03/2026;15:15:00;2;ECE PREPA;Eiffel 1;1024.03
FONTAINE ANNA;Salle EM314 (Labo Elec / Info) - E1 (F) (40) (Meet-up);<BACH1> Bachelor 1 Gr02;Informatique PREPA;02/03/2026;10:45:00;1;ECE PREPA;Eiffel 1;1021.01
LAMBERT HUGO;Salle EM317 - E1 (M) (49);<BACH2> Bachelor 2 Gr01;Data Science;02/03/2026;10:45:00;2;ECE MASTER;Eiffel 1;1003.02
LAURENT MARIE;Salle EM317 - E1 (M) (49);<CLASSES> Ing2 Gr02;DevOps;02/03/2026;13:00:00;2;ECE MASTER;Eiffel 1;1001.01
BERNARD CLAIRE;Salle EM317 - E1 (M) (49);<CLASSES> Ing3 Gr02;Finance d'entreprise;02/03/2026;19:45:00;1;ECE BACHELOR;Eiffel 1;1002.01
BERNARD CLAIRE;Salle EM326 (Labo Elec / Info) - E1 (F) (40) (Meet-up);<CLASSES> Ing2 Gr01;Gestion de projet;02/03/2026;13:00:00;1;ECE BACHELOR;Eiffel 1;1017.02
BERNARD CLAIRE;Salle EM326 (Labo Elec / Info) - E1 (F) (40) (Meet-up);<PREPA2> Prepa 2eme annee Gr01;Chimie PREPA;02/03/2026;14:00:00;1;ECE PREPA;Eiffel 1;1018.02
GARCIA ELENA;Salle EM326 (Labo Elec / Info) - E1 (F) (40) (Meet-up);<CLASSES> Ing2 Gr04;Reseaux et telecoms;02/03/2026;15:15:00;2;ECE INGENIEUR;Eiffel 1;1019.05
MOKHBER ARASH;Salle EM326 (Labo Elec / Info) - E1 (F) (40) (Meet-up);<CLASSES> Ing3 Gr01;Comptabilite analytique;02/03/2026;18:30:00;2;ECE BACHELOR;Eiffel 1;1020.01
GULDNER NAJMA;CD-1.11 N - Co-DF (M) (32);<CLASSES> Ing4 Gr01;Intelligence artificielle;03/03/2026;13:00:00;2;ECE MASTER;Coeur defense;1124.02
MOKHBER ARASH;CD-5.16 N - Co-DF (M) (46) (Clevertouch);<BACH2> Bachelor 2 Gr01;Electronique ING2;03/03/2026;10:45:00;1;ECE INGENIEUR;Coeur defense;1163.02
SIMON THOMAS;CD-5.16 N - Co-DF (M) (46) (Clevertouch);<CLASSES> Ing2 Gr05;Traitement du signal;03/03/2026;14:00:00;1;ECE INGENIEUR;Coeur defense;1162.05
DAVID SARAH;CD-6.08 N - Co-DF (M) (44) (Clevertouch);<CLASSES> Ing2 Gr05;Cybersecurite;03/03/2026;10:45:00;2;ECE MASTER;Coeur defense;1148.01
DUBOIS LUCAS;CD-6.08 N - Co-DF (M) (44) (Clevertouch);<CLASSES> Ing2 Gr02;Robotique;03/03/2026;15:15:00;1;ECE INGENIEUR;Coeur defense;1147.04
PETIT ANTOINE;CD-6.08 N - Co-DF (M) (44) (Clevertouch);<CLASSES> Ing2 Gr04;Finance d'entreprise;03/03/2026;17:30:00;1;ECE BACHELOR;Coeur defense;1149.02
BERNARD CLAIRE;CD-6.08 N - Co-DF (M) (44) (Clevertouch);<MAST1> Master 1 Cybersec;Automatique;03/03/2026;19:45:00;1;ECE INGENIEUR;Coeur defense;1146.01
WILSON JAMES;E5-S-2.05 (F) (49);<BACH2> Bachelor 2 Gr01;Electronique ING2;03/03/2026;18:30:00;2;ECE INGENIEUR;Eiffel 5;1114.02
DAVID SARAH;E5-S-2.05 (F) (49);<MAST1> Master 1 Cybersec;Chimie PREPA;03/03/2026;19:45:00;1;ECE PREPA;Eiffel 5;1115.02
MOREAU EMILIE;G4-H18 (M) (40);<PREPA2> Prepa 2eme annee Gr02;Cybersecurite;03/03/2026;10:45:00;1;ECE MASTER;Bacalan (H18);1172.05
DAVID SARAH;G4-H18 (M) (40);<CLASSES> Ing2 Gr03;Gestion de projet;03/03/2026;17:30:00;2;ECE BACHELOR;Bacalan (H18);1169.03
THOMAS ALICE;G4-H18 (M) (40);<Ing2 NVX> Ing2 Nouveaux;IA Ingenieur;03/03/2026;18:30:00;1;ECE INGENIEUR;Bacalan (H18);1171.01
DUPONT JEAN;G4-H18 (M) (40);<BACH1> Bachelor 1 Gr01;Marketing digital;03/03/2026;19:45:00;1;ECE BACHELOR;Bacalan (H18);1170.04
WILSON JAMES;Salle - A-303 (F) (42) (Meet-up);<MAST1> Master 1 Cybersec;Cybersecurite;03/03/2026;08:30:00;1;ECE MASTER;Eiffel 2;1175.02
MOREAU EMILIE;Salle - A-303 (F) (42) (Meet-up);<BACH1> Bachelor 1 Gr01;Management;03/03/2026;14:00:00;1;ECE BACHELOR;Eiffel 2;1174.04
BERNARD CLAIRE;Salle - A-303 (F) (42) (Meet-up);<CLASSES> Ing2 Gr03;IA Ingenieur;03/03/2026;15:15:00;1;ECE INGENIEUR;Eiffel 2;1173.04
DUBOIS LUCAS;Salle - A-303 (F) (42) (Meet-up);<PREPA2> Prepa 2eme annee Gr02;Intelligence artificielle;03/03/2026;17:30:00;1;ECE MASTER;Eiffel 2;1176.05
PETIT ANTOINE;Salle - A-307 (F) (42) (Meet-up);<MAST1> Master 1 Cybersec;Intelligence artificielle;03/03/2026;14:00:00;2;ECE MASTER;Eiffel 2;1181.04
LEFEBVRE JULIE;Salle - A-307 (F) (42) (Meet-up);<CLASSES> Ing2 Gr02;DevOps;03/03/2026;15:15:00;2;ECE MASTER;Eiffel 2;1183.04
DAVID SARAH;Salle - A-307 (F) (42) (Meet-up);<CLASSES> Ing2 Gr05;Robotique;03/03/2026;19:45:00;1;ECE INGENIEUR;Eiffel 2;1182.04
ROUSSEAU LISA;Salle - A-308 (F) (46) (Meet-up);<CLASSES> Ing3 Gr02;Intelligence artificielle;03/03/2026;15:15:00;2;ECE MASTER;Eiffel 2;1119.04
MICHEL PIERRE;Salle - A-308 (F) (46) (Meet-up);<CLASSES> Ing2 Gr02;DevOps;03/03/2026;17:30:00;1;ECE MASTER;Eiffel 2;1120.04
ROUSSEAU LISA;Salle - A-308 (F) (46) (Meet-up);<CLASSES> Ing4 Gr01;Automatique;03/03/2026;19:45:00;1;ECE INGENIEUR;Eiffel 2;1118.05
MOREAU EMILIE;Salle - B-304 (Chariot info) (F) (46) (Meet-up);<Ing2 NVX> Ing2 Nouveaux;Mathematiques PREPA;03/03/2026;08:30:00;1;ECE PREPA;Eiffel 2;1127.03
MOREAU EMILIE;Salle - B-304 (Chariot info) (F) (46) (Meet-up);<PREPA2> Prepa 2eme annee Gr02;Cybersecurite;03/03/2026;19:45:00;1;ECE MASTER;Eiffel 2;1126.03
KHOURY CLAUDE;Salle - F-304 (F) (49) (Meet-up);<BACH2> Bachelor 2 Gr01;Informatique PREPA;03/03/2026;15:15:00;1;ECE PREPA;Lyon Universite (25);1128.05
DUBOIS LUCAS;Salle - F-304 (F) (49) (Meet-up);<CLASSES> Ing3 Gr02;Informatique PREPA;03/03/2026;19:45:00;1;ECE PREPA;Lyon Universite (25);1129.05
GULDNER NAJMA;Salle - G-301 (M) (32) (Meet-up);<PREPA2> Prepa 2eme annee Gr01;Systemes embarques;03/03/2026;08:30:00;2;ECE INGENIEUR;Lyon Universite (25);1165.05
GARCIA ELENA;Salle - G-301 (M) (32) (Meet-up);<CLASSES> Ing2 Gr03;Automatique;03/03/2026;10:45:00;1;ECE INGENIEUR;Lyon Universite (25);1167.05
THOMAS ALICE;Salle - G-301 (M) (32) (Meet-up);<CLASSES> Ing2 Gr04;Marketing digital;03/03/2026;13:00:00;2;ECE BACHELOR;Lyon Universite (25);1166.03
